BPCheckFreqID,BPCheckFreq,HighRisk,ModerateRisk,LowRisk,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime,MissedReviewDays
101,Daily,f,f,f,101,2017-01-20 12:06:20.242307+05:30,101,2017-01-20 12:06:20.242307+05:30,7
103,Weekly,t,f,f,101,2017-01-20 12:07:58.933032+05:30,101,2017-01-20 12:07:58.933032+05:30,14
105,Monthly,f,f,f,101,2017-01-20 12:09:28.371775+05:30,101,2017-01-20 12:09:28.371775+05:30,45
104,Every 2 Weeks,f,t,t,101,2017-01-20 12:08:43.486247+05:30,101,2017-01-20 12:08:43.486247+05:30,30
