FacilityTypeMapID,FacilityID,FacilityTypeID,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime,IsDeleted
257,196,103,101,2018-06-01 17:54:52.570357+05:30,101,2018-06-01 17:54:52.570357+05:30,t
258,197,102,101,2018-06-01 17:59:11.010796+05:30,101,2018-06-01 17:59:11.010796+05:30,f
259,197,103,101,2018-06-01 17:59:11.010796+05:30,101,2018-06-01 17:59:11.010796+05:30,t
261,198,103,101,2018-06-01 18:05:18.867096+05:30,101,2018-06-01 18:05:18.867096+05:30,t
211,170,102,101,2018-05-24 18:02:00.554493+05:30,101,2018-06-01 18:05:41.894645+05:30,t
248,191,102,101,2018-06-01 13:49:11.118286+05:30,101,2018-06-01 18:05:49.16102+05:30,t
264,200,102,101,2018-06-01 18:47:40.004187+05:30,101,2018-06-01 18:47:40.004187+05:30,f
265,200,103,101,2018-06-01 18:47:40.004187+05:30,101,2018-06-01 18:47:40.004187+05:30,t
267,202,101,101,2018-06-03 23:14:00.944951+05:30,101,2018-06-03 23:14:00.944951+05:30,f
269,203,102,101,2018-06-03 23:14:49.864087+05:30,101,2018-06-03 23:14:49.864087+05:30,f
270,203,103,101,2018-06-03 23:14:49.864087+05:30,101,2018-06-03 23:14:49.864087+05:30,t
268,202,103,101,2018-06-03 23:14:00.944951+05:30,101,2018-06-03 23:14:00.944951+05:30,t
272,205,101,101,2018-06-04 12:48:27.854955+05:30,101,2018-06-04 12:48:27.854955+05:30,f
273,205,103,101,2018-06-04 12:48:27.854955+05:30,101,2018-06-04 12:48:27.854955+05:30,t
274,206,102,101,2018-06-04 12:55:48.955581+05:30,101,2018-06-04 12:55:48.955581+05:30,f
275,206,103,101,2018-06-04 12:55:48.955581+05:30,101,2018-06-04 12:55:48.955581+05:30,t
277,207,103,101,2018-06-05 15:58:34.791702+05:30,101,2018-06-05 15:58:34.791702+05:30,t
247,190,103,101,2018-05-31 19:06:26.446726+05:30,101,2018-05-31 19:06:26.446726+05:30,t
278,208,101,101,2018-08-23 12:15:39.966573+05:30,101,2018-08-23 12:15:39.966573+05:30,f
250,192,103,101,2018-06-01 13:51:24.045978+05:30,101,2018-06-01 13:51:24.045978+05:30,f
271,204,103,101,2018-06-03 23:15:40.223991+05:30,101,2018-06-03 23:15:40.223991+05:30,f
210,169,103,101,2018-05-24 18:00:52.136619+05:30,101,2018-05-24 18:00:52.136619+05:30,t
263,199,103,101,2018-06-01 18:38:17.385757+05:30,101,2018-06-01 18:38:17.385757+05:30,t
276,207,101,101,2018-06-05 15:58:34.791702+05:30,101,2018-09-11 14:44:12.661423+05:30,t
216,173,101,101,2018-05-25 11:30:32.213176+05:30,101,2018-09-11 14:45:06.760587+05:30,t
246,190,101,101,2018-05-31 19:06:26.446726+05:30,101,2018-09-13 10:02:01.061216+05:30,t
196,160,101,101,2018-05-24 14:26:18.681201+05:30,101,2018-09-13 10:03:05.613691+05:30,t
185,154,103,205,2018-01-25 15:38:20.610284+05:30,205,2018-01-25 15:38:20.610284+05:30,t
213,171,103,101,2018-05-24 18:04:59.569229+05:30,101,2018-05-24 18:04:59.569229+05:30,t
266,201,103,101,2018-06-01 18:51:49.80448+05:30,101,2018-06-01 18:51:49.80448+05:30,f
280,209,102,101,2018-08-23 14:48:50.445309+05:30,101,2018-08-23 14:48:50.445309+05:30,f
281,209,103,101,2018-08-23 14:48:50.445309+05:30,101,2018-08-23 14:48:50.445309+05:30,t
289,216,103,101,2018-08-23 15:24:42.724866+05:30,101,2018-08-23 15:24:42.724866+05:30,t
288,216,101,101,2018-08-23 15:24:42.724866+05:30,101,2018-08-23 15:25:42.272207+05:30,t
282,210,103,101,2018-08-23 14:49:46.177454+05:30,101,2018-08-23 14:49:46.177454+05:30,t
283,211,103,101,2018-08-23 14:51:22.752192+05:30,101,2018-08-23 14:51:22.752192+05:30,t
290,217,101,101,2018-08-27 13:35:07.019606+05:30,101,2018-08-27 13:35:07.019606+05:30,f
291,217,103,101,2018-08-27 13:35:07.019606+05:30,101,2018-08-27 13:35:07.019606+05:30,t
256,196,101,101,2018-06-01 17:54:52.570357+05:30,101,2018-08-27 13:36:06.41607+05:30,t
292,218,102,101,2018-08-27 13:42:33.750398+05:30,101,2018-08-27 13:42:33.750398+05:30,f
293,218,103,101,2018-08-27 13:42:33.750398+05:30,101,2018-08-27 13:42:33.750398+05:30,t
253,194,102,101,2018-06-01 14:39:13.669479+05:30,101,2018-08-27 13:42:59.405557+05:30,t
255,195,103,101,2018-06-01 16:43:10.270354+05:30,101,2018-06-01 16:43:10.270354+05:30,t
284,212,103,101,2018-08-23 14:52:00.530467+05:30,101,2018-08-23 14:52:00.530467+05:30,t
294,219,103,101,2018-08-27 13:44:39.812157+05:30,101,2018-08-27 13:44:39.812157+05:30,t
128,117,103,101,2018-01-18 10:50:23.080451+05:30,101,2018-01-18 10:50:23.080451+05:30,t
178,150,103,101,2018-01-24 17:08:17.010458+05:30,101,2018-01-24 17:08:17.010458+05:30,t
160,137,103,101,2018-01-23 21:09:53.465608+05:30,101,2018-01-23 21:09:53.465608+05:30,t
