MedBrandNameCountryID,MedicationBrandNameID,MedicationNameID,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime,IsDeleted,CountryID,DosageFormID,MedicationClassificationID
190,129,130,101,2017-06-01 14:57:48.114986+05:30,101,2017-06-01 14:57:48.114986+05:30,f,101,,101
149,115,116,101,2017-06-01 12:15:19.408048+05:30,101,2017-06-23 12:55:41.45949+05:30,f,101,103,107
203,117,101,101,2017-07-06 17:10:58.997925+05:30,101,2017-07-06 17:10:58.997925+05:30,f,102,103,101
217,117,134,101,2017-07-06 17:24:24.173374+05:30,101,2017-07-06 17:24:24.173374+05:30,f,102,103,115
222,117,105,101,2017-07-06 17:29:42.753028+05:30,101,2017-07-06 17:29:42.753028+05:30,f,102,103,103
225,117,107,101,2017-07-06 17:31:18.631576+05:30,101,2017-07-06 17:31:18.631576+05:30,f,102,103,104
230,129,136,101,2017-07-06 17:32:55.727796+05:30,101,2017-07-06 17:32:55.727796+05:30,f,102,103,104
231,117,108,101,2017-07-06 17:33:19.7938+05:30,101,2017-07-06 17:33:19.7938+05:30,f,102,103,104
233,117,110,101,2017-07-06 17:33:57.857061+05:30,101,2017-07-06 17:33:57.857061+05:30,f,102,103,104
234,129,110,101,2017-07-06 17:34:13.052292+05:30,101,2017-07-06 17:34:13.052292+05:30,f,102,103,104
246,117,112,101,2017-07-06 17:39:50.805435+05:30,101,2017-07-06 17:39:50.805435+05:30,f,102,103,105
250,117,141,101,2017-07-06 17:41:19.555578+05:30,101,2017-07-06 17:41:19.555578+05:30,f,102,103,105
251,129,141,101,2017-07-06 17:41:34.476052+05:30,101,2017-07-06 17:41:34.476052+05:30,f,102,103,105
256,117,144,101,2017-07-06 17:43:14.173486+05:30,101,2017-07-06 17:43:14.173486+05:30,f,102,103,105
260,129,115,101,2017-07-06 17:44:43.115671+05:30,101,2017-07-06 17:44:43.115671+05:30,f,102,103,106
268,117,118,101,2017-07-06 17:47:45.742285+05:30,101,2017-07-06 17:47:45.742285+05:30,f,102,103,109
271,129,147,101,2017-07-06 17:49:02.40698+05:30,101,2017-07-06 17:49:02.40698+05:30,f,102,103,109
289,117,125,101,2017-07-06 17:56:03.976536+05:30,101,2017-07-06 17:56:03.976536+05:30,f,102,103,112
290,129,125,101,2017-07-06 17:56:19.727214+05:30,101,2017-07-06 17:56:19.727214+05:30,f,102,103,112
291,117,126,101,2017-07-06 17:56:43.247874+05:30,101,2017-07-06 17:56:43.247874+05:30,f,102,103,112
294,129,153,101,2017-07-06 17:57:49.264373+05:30,101,2017-07-06 17:57:49.264373+05:30,f,102,103,112
204,129,101,101,2017-07-06 17:11:47.186149+05:30,101,2017-07-06 17:11:47.186149+05:30,f,102,103,101
211,129,130,101,2017-07-06 17:15:25.003443+05:30,101,2017-07-06 17:15:25.003443+05:30,f,102,,101
218,129,134,101,2017-07-06 17:25:03.613796+05:30,101,2017-07-06 17:25:03.613796+05:30,f,102,103,115
115,129,105,101,2017-06-01 11:55:25.21684+05:30,101,2017-06-01 11:55:25.21684+05:30,f,101,103,103
125,108,108,101,2017-06-01 12:03:07.10476+05:30,101,2017-06-01 12:03:07.10476+05:30,f,101,103,104
135,129,112,101,2017-06-01 12:07:28.804044+05:30,101,2017-06-01 12:07:28.804044+05:30,f,101,103,105
146,102,115,101,2017-06-01 12:13:27.347724+05:30,101,2017-06-01 12:13:27.347724+05:30,f,101,103,106
156,130,118,101,2017-06-01 12:19:04.99297+05:30,101,2017-06-01 12:19:04.99297+05:30,f,101,101,109
176,124,124,101,2017-06-01 12:33:42.485509+05:30,101,2017-06-01 12:33:42.485509+05:30,f,101,103,112
177,129,124,101,2017-06-01 12:33:53.509946+05:30,101,2017-06-01 12:33:53.509946+05:30,f,101,103,112
181,117,126,101,2017-06-01 12:36:30.312687+05:30,101,2017-06-01 12:36:30.312687+05:30,f,101,103,112
182,129,126,101,2017-06-01 12:36:44.341904+05:30,101,2017-06-01 12:36:44.341904+05:30,f,101,103,112
219,129,130,101,2017-07-06 17:25:03.613796+05:30,101,2017-07-06 17:25:03.613796+05:30,f,102,,115
220,117,104,101,2017-07-06 17:28:46.878697+05:30,101,2017-07-06 17:28:46.878697+05:30,f,102,103,103
221,129,104,101,2017-07-06 17:29:19.632754+05:30,101,2017-07-06 17:29:19.632754+05:30,f,102,103,103
223,129,105,101,2017-07-06 17:30:04.846581+05:30,101,2017-07-06 17:30:04.846581+05:30,f,102,103,103
227,117,135,101,2017-07-06 17:32:00.212628+05:30,101,2017-07-06 17:32:00.212628+05:30,f,102,103,104
228,129,135,101,2017-07-06 17:32:16.064748+05:30,101,2017-07-06 17:32:16.064748+05:30,f,102,103,104
237,117,137,101,2017-07-06 17:35:26.059981+05:30,101,2017-07-06 17:35:26.059981+05:30,f,102,103,104
238,129,137,101,2017-07-06 17:35:44.613018+05:30,101,2017-07-06 17:35:44.613018+05:30,f,102,103,104
240,129,138,101,2017-07-06 17:36:32.955283+05:30,101,2017-07-06 17:36:32.955283+05:30,f,102,103,104
224,129,130,101,2017-07-06 17:30:51.239516+05:30,101,2017-07-06 17:30:51.239516+05:30,f,102,,103
254,117,143,101,2017-07-06 17:42:36.2134+05:30,101,2017-07-06 17:42:36.2134+05:30,f,102,103,105
255,129,143,101,2017-07-06 17:42:51.036043+05:30,101,2017-07-06 17:42:51.036043+05:30,f,102,103,105
269,129,118,101,2017-07-06 17:48:19.575108+05:30,101,2017-07-06 17:48:19.575108+05:30,f,102,103,109
205,117,102,101,2017-07-06 17:12:23.218959+05:30,101,2017-07-06 17:12:23.218959+05:30,f,102,103,101
